synth_image_id,source_img_name,generator,size_bin,location_zone,contrast_bin,anatomy_overlap,gt_x,gt_y,gt_width,gt_height,generation_seed,qc_pass,grid_repeat_type,radedit_prompt
synth_0012,c0875.mha,radedit,small,lower_left,low,none,334,749,18,18,4200012,,base_no_overlap,"single small pulmonary nodule, low contrast, lower left lung zone, overlap none"
synth_0013,c0953.mha,radedit,small,lower_left,medium,none,333,752,18,18,4200013,,base_no_overlap,"single small pulmonary nodule, medium contrast, lower left lung zone, overlap none"
synth_0014,c1075.mha,radedit,small,lower_left,high,none,333,749,18,18,4200014,,base_no_overlap,"single small pulmonary nodule, high contrast, lower left lung zone, overlap none"
synth_0015,c1277.mha,radedit,small,lower_right,low,none,682,754,18,18,4200015,,base_no_overlap,"single small pulmonary nodule, low contrast, lower right lung zone, overlap none"
synth_0016,c1295.mha,radedit,small,lower_right,medium,none,681,747,18,18,4200016,,base_no_overlap,"single small pulmonary nodule, medium contrast, lower right lung zone, overlap none"
synth_0017,c1438.mha,radedit,small,lower_right,high,none,679,747,18,18,4200017,,base_no_overlap,"single small pulmonary nodule, high contrast, lower right lung zone, overlap none"
synth_0018,c1480.mha,radedit,medium,upper_left,low,none,308,236,32,32,4200018,,base_no_overlap,"single medium pulmonary nodule, low contrast, upper left lung zone, overlap none"
synth_0019,c1514.mha,radedit,medium,upper_left,medium,none,317,236,32,32,4200019,,base_no_overlap,"single medium pulmonary nodule, medium contrast, upper left lung zone, overlap none"
synth_0020,c1584.mha,radedit,medium,upper_left,high,none,309,237,32,32,4200020,,base_no_overlap,"single medium pulmonary nodule, high contrast, upper left lung zone, overlap none"
synth_0021,c1650.mha,radedit,medium,upper_right,low,none,686,242,32,32,4200021,,base_no_overlap,"single medium pulmonary nodule, low contrast, upper right lung zone, overlap none"
synth_0022,c1669.mha,radedit,medium,upper_right,medium,none,690,245,32,32,4200022,,base_no_overlap,"single medium pulmonary nodule, medium contrast, upper right lung zone, overlap none"
synth_0023,c1691.mha,radedit,medium,upper_right,high,none,680,251,32,32,4200023,,base_no_overlap,"single medium pulmonary nodule, high contrast, upper right lung zone, overlap none"
synth_0024,c1709.mha,radedit,medium,mid_left,low,none,288,491,32,32,4200024,,base_no_overlap,"single medium pulmonary nodule, low contrast, mid left lung zone, overlap none"
synth_0025,c1805.mha,radedit,medium,mid_left,medium,none,281,495,32,32,4200025,,base_no_overlap,"single medium pulmonary nodule, medium contrast, mid left lung zone, overlap none"
synth_0026,c2366.mha,radedit,medium,mid_left,high,none,277,494,32,32,4200026,,base_no_overlap,"single medium pulmonary nodule, high contrast, mid left lung zone, overlap none"
synth_0027,c2373.mha,radedit,medium,mid_right,low,none,696,494,32,32,4200027,,base_no_overlap,"single medium pulmonary nodule, low contrast, mid right lung zone, overlap none"
synth_0028,c2393.mha,radedit,medium,mid_right,medium,none,697,496,32,32,4200028,,base_no_overlap,"single medium pulmonary nodule, medium contrast, mid right lung zone, overlap none"
synth_0029,c2465.mha,radedit,medium,mid_right,high,none,712,488,32,32,4200029,,base_no_overlap,"single medium pulmonary nodule, high contrast, mid right lung zone, overlap none"
synth_0030,c2568.mha,radedit,medium,lower_left,low,none,318,752,32,32,4200030,,base_no_overlap,"single medium pulmonary nodule, low contrast, lower left lung zone, overlap none"
synth_0031,c2602.mha,radedit,medium,lower_left,medium,none,328,746,32,32,4200031,,base_no_overlap,"single medium pulmonary nodule, medium contrast, lower left lung zone, overlap none"
synth_0032,c2714.mha,radedit,medium,lower_left,high,none,331,749,32,32,4200032,,base_no_overlap,"single medium pulmonary nodule, high contrast, lower left lung zone, overlap none"
synth_0033,c2782.mha,radedit,medium,lower_right,low,none,671,741,32,32,4200033,,base_no_overlap,"single medium pulmonary nodule, low contrast, lower right lung zone, overlap none"
synth_0034,c2820.mha,radedit,medium,lower_right,medium,none,673,745,32,32,4200034,,base_no_overlap,"single medium pulmonary nodule, medium contrast, lower right lung zone, overlap none"
synth_0035,c2922.mha,radedit,medium,lower_right,high,none,682,742,32,32,4200035,,base_no_overlap,"single medium pulmonary nodule, high contrast, lower right lung zone, overlap none"
synth_0036,c2943.mha,radedit,large,upper_left,low,none,317,221,52,52,4200036,,base_no_overlap,"single large pulmonary nodule, low contrast, upper left lung zone, overlap none"
synth_0037,c2953.mha,radedit,large,upper_left,medium,none,300,221,52,52,4200037,,base_no_overlap,"single large pulmonary nodule, medium contrast, upper left lung zone, overlap none"
synth_0038,c3013.mha,radedit,large,upper_left,high,none,293,244,52,52,4200038,,base_no_overlap,"single large pulmonary nodule, high contrast, upper left lung zone, overlap none"
synth_0039,c3125.mha,radedit,large,upper_right,low,none,667,221,52,52,4200039,,base_no_overlap,"single large pulmonary nodule, low contrast, upper right lung zone, overlap none"
synth_0040,c3198.mha,radedit,large,upper_right,medium,none,664,221,52,52,4200040,,base_no_overlap,"single large pulmonary nodule, medium contrast, upper right lung zone, overlap none"
synth_0041,c3220.mha,radedit,large,upper_right,high,none,672,236,52,52,4200041,,base_no_overlap,"single large pulmonary nodule, high contrast, upper right lung zone, overlap none"
synth_0042,c3264.mha,radedit,large,mid_left,low,none,278,491,52,52,4200042,,base_no_overlap,"single large pulmonary nodule, low contrast, mid left lung zone, overlap none"
synth_0043,c3283.mha,radedit,large,mid_left,medium,none,287,495,52,52,4200043,,base_no_overlap,"single large pulmonary nodule, medium contrast, mid left lung zone, overlap none"
synth_0044,c3396.mha,radedit,large,mid_left,high,none,263,475,52,52,4200044,,base_no_overlap,"single large pulmonary nodule, high contrast, mid left lung zone, overlap none"
synth_0045,c3399.mha,radedit,large,mid_right,low,none,688,493,52,52,4200045,,base_no_overlap,"single large pulmonary nodule, low contrast, mid right lung zone, overlap none"
synth_0046,c3450.mha,radedit,large,mid_right,medium,none,681,482,52,52,4200046,,base_no_overlap,"single large pulmonary nodule, medium contrast, mid right lung zone, overlap none"
synth_0047,c3476.mha,radedit,large,mid_right,high,none,683,484,52,52,4200047,,base_no_overlap,"single large pulmonary nodule, high contrast, mid right lung zone, overlap none"
synth_0048,c3623.mha,radedit,large,lower_left,low,none,306,724,52,52,4200048,,base_no_overlap,"single large pulmonary nodule, low contrast, lower left lung zone, overlap none"
synth_0049,c3814.mha,radedit,large,lower_left,medium,none,324,737,52,52,4200049,,base_no_overlap,"single large pulmonary nodule, medium contrast, lower left lung zone, overlap none"
synth_0050,c0221.mha,radedit,large,lower_left,high,none,312,732,52,52,4200050,,base_no_overlap,"single large pulmonary nodule, high contrast, lower left lung zone, overlap none"
synth_0051,c0300.mha,radedit,large,lower_right,low,none,662,747,52,52,4200051,,base_no_overlap,"single large pulmonary nodule, low contrast, lower right lung zone, overlap none"
synth_0052,c0314.mha,radedit,large,lower_right,medium,none,652,735,52,52,4200052,,base_no_overlap,"single large pulmonary nodule, medium contrast, lower right lung zone, overlap none"
synth_0053,c0457.mha,radedit,large,lower_right,high,none,655,722,52,52,4200053,,base_no_overlap,"single large pulmonary nodule, high contrast, lower right lung zone, overlap none"
synth_0054,c0458.mha,radedit,small,upper_left,low,spine,513,255,18,18,4200054,,plausible_overlap,"single small pulmonary nodule, low contrast, upper left lung zone, overlap spine"
synth_0055,c0471.mha,radedit,small,upper_left,low,clavicle,321,212,18,18,4200055,,plausible_overlap,"single small pulmonary nodule, low contrast, upper left lung zone, overlap clavicle"
synth_0056,c0635.mha,radedit,small,upper_left,medium,spine,488,254,18,18,4200056,,plausible_overlap,"single small pulmonary nodule, medium contrast, upper left lung zone, overlap spine"
synth_0057,c0637.mha,radedit,small,upper_left,medium,clavicle,322,214,18,18,4200057,,plausible_overlap,"single small pulmonary nodule, medium contrast, upper left lung zone, overlap clavicle"
synth_0058,c0682.mha,radedit,small,upper_left,high,clavicle,324,213,18,18,4200058,,plausible_overlap,"single small pulmonary nodule, high contrast, upper left lung zone, overlap clavicle"
synth_0059,c0788.mha,radedit,small,upper_left,high,spine,524,248,18,18,4200059,,plausible_overlap,"single small pulmonary nodule, high contrast, upper left lung zone, overlap spine"
synth_0060,c0791.mha,radedit,small,upper_right,low,spine,504,249,18,18,4200060,,plausible_overlap,"single small pulmonary nodule, low contrast, upper right lung zone, overlap spine"
synth_0061,c0830.mha,radedit,small,upper_right,low,clavicle,692,220,18,18,4200061,,plausible_overlap,"single small pulmonary nodule, low contrast, upper right lung zone, overlap clavicle"
synth_0062,c0875.mha,radedit,small,upper_right,medium,spine,509,249,18,18,4200062,,plausible_overlap,"single small pulmonary nodule, medium contrast, upper right lung zone, overlap spine"
synth_0063,c0953.mha,radedit,small,upper_right,medium,clavicle,690,212,18,18,4200063,,plausible_overlap,"single small pulmonary nodule, medium contrast, upper right lung zone, overlap clavicle"
synth_0064,c1075.mha,radedit,small,upper_right,high,spine,508,255,18,18,4200064,,plausible_overlap,"single small pulmonary nodule, high contrast, upper right lung zone, overlap spine"
synth_0065,c1277.mha,radedit,small,upper_right,high,clavicle,695,216,18,18,4200065,,plausible_overlap,"single small pulmonary nodule, high contrast, upper right lung zone, overlap clavicle"
synth_0066,c1295.mha,radedit,small,mid_left,low,spine,514,502,18,18,4200066,,plausible_overlap,"single small pulmonary nodule, low contrast, mid left lung zone, overlap spine"
synth_0067,c1438.mha,radedit,small,mid_left,low,heart,252,522,18,18,4200067,,plausible_overlap,"single small pulmonary nodule, low contrast, mid left lung zone, overlap heart"
synth_0068,c1480.mha,radedit,small,mid_left,medium,spine,480,497,18,18,4200068,,plausible_overlap,"single small pulmonary nodule, medium contrast, mid left lung zone, overlap spine"
synth_0069,c1514.mha,radedit,small,mid_left,medium,heart,256,521,18,18,4200069,,plausible_overlap,"single small pulmonary nodule, medium contrast, mid left lung zone, overlap heart"
synth_0070,c1584.mha,radedit,small,mid_left,high,heart,254,518,18,18,4200070,,plausible_overlap,"single small pulmonary nodule, high contrast, mid left lung zone, overlap heart"
synth_0071,c1650.mha,radedit,small,mid_left,high,spine,494,504,18,18,4200071,,plausible_overlap,"single small pulmonary nodule, high contrast, mid left lung zone, overlap spine"
synth_0072,c1669.mha,radedit,small,mid_right,low,spine,517,504,18,18,4200072,,plausible_overlap,"single small pulmonary nodule, low contrast, mid right lung zone, overlap spine"
synth_0073,c1691.mha,radedit,small,mid_right,low,heart,745,525,18,18,4200073,,plausible_overlap,"single small pulmonary nodule, low contrast, mid right lung zone, overlap heart"
synth_0074,c1709.mha,radedit,small,mid_right,medium,spine,495,500,18,18,4200074,,plausible_overlap,"single small pulmonary nodule, medium contrast, mid right lung zone, overlap spine"
synth_0075,c1805.mha,radedit,small,mid_right,medium,heart,746,518,18,18,4200075,,plausible_overlap,"single small pulmonary nodule, medium contrast, mid right lung zone, overlap heart"
synth_0076,c2366.mha,radedit,small,mid_right,high,spine,485,501,18,18,4200076,,plausible_overlap,"single small pulmonary nodule, high contrast, mid right lung zone, overlap spine"
synth_0077,c2373.mha,radedit,small,mid_right,high,heart,745,521,18,18,4200077,,plausible_overlap,"single small pulmonary nodule, high contrast, mid right lung zone, overlap heart"
synth_0078,c2393.mha,radedit,small,lower_left,low,heart,294,767,18,18,4200078,,plausible_overlap,"single small pulmonary nodule, low contrast, lower left lung zone, overlap heart"
synth_0079,c2465.mha,radedit,small,lower_left,low,diaphragm,329,789,18,18,4200079,,plausible_overlap,"single small pulmonary nodule, low contrast, lower left lung zone, overlap diaphragm"
synth_0080,c2568.mha,radedit,small,lower_left,medium,heart,292,770,18,18,4200080,,plausible_overlap,"single small pulmonary nodule, medium contrast, lower left lung zone, overlap heart"
synth_0081,c2602.mha,radedit,small,lower_left,medium,diaphragm,331,795,18,18,4200081,,plausible_overlap,"single small pulmonary nodule, medium contrast, lower left lung zone, overlap diaphragm"
synth_0082,c2714.mha,radedit,small,lower_left,high,heart,299,769,18,18,4200082,,plausible_overlap,"single small pulmonary nodule, high contrast, lower left lung zone, overlap heart"
synth_0083,c2782.mha,radedit,small,lower_left,high,diaphragm,335,791,18,18,4200083,,plausible_overlap,"single small pulmonary nodule, high contrast, lower left lung zone, overlap diaphragm"
synth_0084,c2820.mha,radedit,small,lower_right,low,heart,715,767,18,18,4200084,,plausible_overlap,"single small pulmonary nodule, low contrast, lower right lung zone, overlap heart"
synth_0085,c2922.mha,radedit,small,lower_right,low,diaphragm,681,791,18,18,4200085,,plausible_overlap,"single small pulmonary nodule, low contrast, lower right lung zone, overlap diaphragm"
synth_0086,c2943.mha,radedit,small,lower_right,medium,diaphragm,681,797,18,18,4200086,,plausible_overlap,"single small pulmonary nodule, medium contrast, lower right lung zone, overlap diaphragm"
synth_0087,c2953.mha,radedit,small,lower_right,medium,heart,717,768,18,18,4200087,,plausible_overlap,"single small pulmonary nodule, medium contrast, lower right lung zone, overlap heart"
synth_0088,c3013.mha,radedit,small,lower_right,high,heart,716,771,18,18,4200088,,plausible_overlap,"single small pulmonary nodule, high contrast, lower right lung zone, overlap heart"
synth_0089,c3125.mha,radedit,small,lower_right,high,diaphragm,679,791,18,18,4200089,,plausible_overlap,"single small pulmonary nodule, high contrast, lower right lung zone, overlap diaphragm"
synth_0090,c3198.mha,radedit,medium,upper_left,low,clavicle,315,213,32,32,4200090,,plausible_overlap,"single medium pulmonary nodule, low contrast, upper left lung zone, overlap clavicle"
synth_0091,c3220.mha,radedit,medium,upper_left,low,spine,493,244,32,32,4200091,,plausible_overlap,"single medium pulmonary nodule, low contrast, upper left lung zone, overlap spine"
synth_0092,c3264.mha,radedit,medium,upper_left,medium,clavicle,316,213,32,32,4200092,,plausible_overlap,"single medium pulmonary nodule, medium contrast, upper left lung zone, overlap clavicle"
synth_0093,c3283.mha,radedit,medium,upper_left,medium,spine,511,252,32,32,4200093,,plausible_overlap,"single medium pulmonary nodule, medium contrast, upper left lung zone, overlap spine"
synth_0094,c3396.mha,radedit,medium,upper_left,high,spine,505,246,32,32,4200094,,plausible_overlap,"single medium pulmonary nodule, high contrast, upper left lung zone, overlap spine"
synth_0095,c3399.mha,radedit,medium,upper_left,high,clavicle,320,210,32,32,4200095,,plausible_overlap,"single medium pulmonary nodule, high contrast, upper left lung zone, overlap clavicle"
synth_0096,c3450.mha,radedit,medium,upper_right,low,spine,501,248,32,32,4200096,,plausible_overlap,"single medium pulmonary nodule, low contrast, upper right lung zone, overlap spine"
synth_0097,c3476.mha,radedit,medium,upper_right,low,clavicle,681,211,32,32,4200097,,plausible_overlap,"single medium pulmonary nodule, low contrast, upper right lung zone, overlap clavicle"
synth_0098,c3623.mha,radedit,medium,upper_right,medium,clavicle,690,212,32,32,4200098,,plausible_overlap,"single medium pulmonary nodule, medium contrast, upper right lung zone, overlap clavicle"
synth_0099,c3814.mha,radedit,medium,upper_right,medium,spine,500,246,32,32,4200099,,plausible_overlap,"single medium pulmonary nodule, medium contrast, upper right lung zone, overlap spine"
synth_0100,c0221.mha,radedit,medium,upper_right,high,clavicle,685,206,32,32,4200100,,plausible_overlap,"single medium pulmonary nodule, high contrast, upper right lung zone, overlap clavicle"
synth_0101,c0300.mha,radedit,medium,upper_right,high,spine,476,241,32,32,4200101,,plausible_overlap,"single medium pulmonary nodule, high contrast, upper right lung zone, overlap spine"
synth_0102,c0314.mha,radedit,medium,mid_left,low,heart,253,508,32,32,4200102,,plausible_overlap,"single medium pulmonary nodule, low contrast, mid left lung zone, overlap heart"
synth_0103,c0457.mha,radedit,medium,mid_left,low,spine,502,501,32,32,4200103,,plausible_overlap,"single medium pulmonary nodule, low contrast, mid left lung zone, overlap spine"
synth_0104,c0458.mha,radedit,medium,mid_left,medium,spine,474,501,32,32,4200104,,plausible_overlap,"single medium pulmonary nodule, medium contrast, mid left lung zone, overlap spine"
synth_0105,c0471.mha,radedit,medium,mid_left,medium,heart,257,514,32,32,4200105,,plausible_overlap,"single medium pulmonary nodule, medium contrast, mid left lung zone, overlap heart"
synth_0106,c0635.mha,radedit,medium,mid_left,high,spine,511,490,32,32,4200106,,plausible_overlap,"single medium pulmonary nodule, high contrast, mid left lung zone, overlap spine"
synth_0107,c0637.mha,radedit,medium,mid_left,high,heart,244,512,32,32,4200107,,plausible_overlap,"single medium pulmonary nodule, high contrast, mid left lung zone, overlap heart"
synth_0108,c0682.mha,radedit,medium,mid_right,low,heart,742,512,32,32,4200108,,plausible_overlap,"single medium pulmonary nodule, low contrast, mid right lung zone, overlap heart"
synth_0109,c0788.mha,radedit,medium,mid_right,low,spine,472,487,32,32,4200109,,plausible_overlap,"single medium pulmonary nodule, low contrast, mid right lung zone, overlap spine"
synth_0110,c0791.mha,radedit,medium,mid_right,medium,spine,505,492,32,32,4200110,,plausible_overlap,"single medium pulmonary nodule, medium contrast, mid right lung zone, overlap spine"
synth_0111,c0830.mha,radedit,medium,mid_right,medium,heart,745,513,32,32,4200111,,plausible_overlap,"single medium pulmonary nodule, medium contrast, mid right lung zone, overlap heart"
synth_0112,c0875.mha,radedit,medium,mid_right,high,spine,491,495,32,32,4200112,,plausible_overlap,"single medium pulmonary nodule, high contrast, mid right lung zone, overlap spine"
synth_0113,c0953.mha,radedit,medium,mid_right,high,heart,741,508,32,32,4200113,,plausible_overlap,"single medium pulmonary nodule, high contrast, mid right lung zone, overlap heart"
synth_0114,c1075.mha,radedit,medium,lower_left,low,diaphragm,322,781,32,32,4200114,,plausible_overlap,"single medium pulmonary nodule, low contrast, lower left lung zone, overlap diaphragm"
synth_0115,c1277.mha,radedit,medium,lower_left,low,heart,288,765,32,32,4200115,,plausible_overlap,"single medium pulmonary nodule, low contrast, lower left lung zone, overlap heart"
synth_0116,c1295.mha,radedit,medium,lower_left,medium,heart,285,756,32,32,4200116,,plausible_overlap,"single medium pulmonary nodule, medium contrast, lower left lung zone, overlap heart"
synth_0117,c1438.mha,radedit,medium,lower_left,medium,diaphragm,328,787,32,32,4200117,,plausible_overlap,"single medium pulmonary nodule, medium contrast, lower left lung zone, overlap diaphragm"
synth_0118,c1480.mha,radedit,medium,lower_left,high,diaphragm,321,790,32,32,4200118,,plausible_overlap,"single medium pulmonary nodule, high contrast, lower left lung zone, overlap diaphragm"
synth_0119,c1514.mha,radedit,medium,lower_left,high,heart,283,765,32,32,4200119,,plausible_overlap,"single medium pulmonary nodule, high contrast, lower left lung zone, overlap heart"
synth_0120,c1584.mha,radedit,medium,lower_right,low,diaphragm,673,788,32,32,4200120,,plausible_overlap,"single medium pulmonary nodule, low contrast, lower right lung zone, overlap diaphragm"
synth_0121,c1650.mha,radedit,medium,lower_right,low,heart,703,772,32,32,4200121,,plausible_overlap,"single medium pulmonary nodule, low contrast, lower right lung zone, overlap heart"
synth_0122,c1669.mha,radedit,medium,lower_right,medium,diaphragm,672,781,32,32,4200122,,plausible_overlap,"single medium pulmonary nodule, medium contrast, lower right lung zone, overlap diaphragm"
synth_0123,c1691.mha,radedit,medium,lower_right,medium,heart,716,772,32,32,4200123,,plausible_overlap,"single medium pulmonary nodule, medium contrast, lower right lung zone, overlap heart"
synth_0124,c1709.mha,radedit,medium,lower_right,high,heart,707,760,32,32,4200124,,plausible_overlap,"single medium pulmonary nodule, high contrast, lower right lung zone, overlap heart"
synth_0125,c1805.mha,radedit,medium,lower_right,high,diaphragm,670,783,32,32,4200125,,plausible_overlap,"single medium pulmonary nodule, high contrast, lower right lung zone, overlap diaphragm"
synth_0126,c2366.mha,radedit,large,upper_left,low,clavicle,308,198,52,52,4200126,,plausible_overlap,"single large pulmonary nodule, low contrast, upper left lung zone, overlap clavicle"
synth_0127,c2373.mha,radedit,large,upper_left,low,spine,472,232,52,52,4200127,,plausible_overlap,"single large pulmonary nodule, low contrast, upper left lung zone, overlap spine"
synth_0128,c2393.mha,radedit,large,upper_left,medium,spine,483,243,52,52,4200128,,plausible_overlap,"single large pulmonary nodule, medium contrast, upper left lung zone, overlap spine"
synth_0129,c2465.mha,radedit,large,upper_left,medium,clavicle,316,203,52,52,4200129,,plausible_overlap,"single large pulmonary nodule, medium contrast, upper left lung zone, overlap clavicle"
synth_0130,c2568.mha,radedit,large,upper_left,high,clavicle,299,206,52,52,4200130,,plausible_overlap,"single large pulmonary nodule, high contrast, upper left lung zone, overlap clavicle"
synth_0131,c2602.mha,radedit,large,upper_left,high,spine,503,226,52,52,4200131,,plausible_overlap,"single large pulmonary nodule, high contrast, upper left lung zone, overlap spine"
synth_0132,c2714.mha,radedit,large,upper_right,low,spine,506,227,52,52,4200132,,plausible_overlap,"single large pulmonary nodule, low contrast, upper right lung zone, overlap spine"
synth_0133,c2782.mha,radedit,large,upper_right,low,clavicle,672,191,52,52,4200133,,plausible_overlap,"single large pulmonary nodule, low contrast, upper right lung zone, overlap clavicle"
synth_0134,c2820.mha,radedit,large,upper_right,medium,clavicle,680,195,52,52,4200134,,plausible_overlap,"single large pulmonary nodule, medium contrast, upper right lung zone, overlap clavicle"
synth_0135,c2922.mha,radedit,large,upper_right,medium,spine,506,223,52,52,4200135,,plausible_overlap,"single large pulmonary nodule, medium contrast, upper right lung zone, overlap spine"
synth_0136,c2943.mha,radedit,large,upper_right,high,clavicle,671,203,52,52,4200136,,plausible_overlap,"single large pulmonary nodule, high contrast, upper right lung zone, overlap clavicle"
synth_0137,c2953.mha,radedit,large,upper_right,high,spine,506,221,52,52,4200137,,plausible_overlap,"single large pulmonary nodule, high contrast, upper right lung zone, overlap spine"
synth_0138,c3013.mha,radedit,large,mid_left,low,spine,499,484,52,52,4200138,,plausible_overlap,"single large pulmonary nodule, low contrast, mid left lung zone, overlap spine"
synth_0139,c3125.mha,radedit,large,mid_left,low,heart,233,502,52,52,4200139,,plausible_overlap,"single large pulmonary nodule, low contrast, mid left lung zone, overlap heart"
synth_0140,c3198.mha,radedit,large,mid_left,medium,spine,472,490,52,52,4200140,,plausible_overlap,"single large pulmonary nodule, medium contrast, mid left lung zone, overlap spine"
synth_0141,c3220.mha,radedit,large,mid_left,medium,heart,248,505,52,52,4200141,,plausible_overlap,"single large pulmonary nodule, medium contrast, mid left lung zone, overlap heart"
synth_0142,c3264.mha,radedit,large,mid_left,high,spine,478,486,52,52,4200142,,plausible_overlap,"single large pulmonary nodule, high contrast, mid left lung zone, overlap spine"
synth_0143,c3283.mha,radedit,large,mid_left,high,heart,241,504,52,52,4200143,,plausible_overlap,"single large pulmonary nodule, high contrast, mid left lung zone, overlap heart"
synth_0144,c3396.mha,radedit,large,mid_right,low,spine,472,480,52,52,4200144,,plausible_overlap,"single large pulmonary nodule, low contrast, mid right lung zone, overlap spine"
synth_0145,c3399.mha,radedit,large,mid_right,low,heart,740,502,52,52,4200145,,plausible_overlap,"single large pulmonary nodule, low contrast, mid right lung zone, overlap heart"
synth_0146,c3450.mha,radedit,large,mid_right,medium,heart,740,505,52,52,4200146,,plausible_overlap,"single large pulmonary nodule, medium contrast, mid right lung zone, overlap heart"
synth_0147,c3476.mha,radedit,large,mid_right,medium,spine,466,496,52,52,4200147,,plausible_overlap,"single large pulmonary nodule, medium contrast, mid right lung zone, overlap spine"
synth_0148,c3623.mha,radedit,large,mid_right,high,spine,509,477,52,52,4200148,,plausible_overlap,"single large pulmonary nodule, high contrast, mid right lung zone, overlap spine"
synth_0149,c3814.mha,radedit,large,mid_right,high,heart,724,511,52,52,4200149,,plausible_overlap,"single large pulmonary nodule, high contrast, mid right lung zone, overlap heart"
synth_0150,c0221.mha,radedit,large,lower_left,low,heart,274,750,52,52,4200150,,plausible_overlap,"single large pulmonary nodule, low contrast, lower left lung zone, overlap heart"
synth_0151,c0300.mha,radedit,large,lower_left,low,diaphragm,302,784,52,52,4200151,,plausible_overlap,"single large pulmonary nodule, low contrast, lower left lung zone, overlap diaphragm"
synth_0152,c0314.mha,radedit,large,lower_left,medium,heart,292,767,52,52,4200152,,plausible_overlap,"single large pulmonary nodule, medium contrast, lower left lung zone, overlap heart"
synth_0153,c0457.mha,radedit,large,lower_left,medium,diaphragm,318,777,52,52,4200153,,plausible_overlap,"single large pulmonary nodule, medium contrast, lower left lung zone, overlap diaphragm"
synth_0154,c0458.mha,radedit,large,lower_left,high,diaphragm,321,768,52,52,4200154,,plausible_overlap,"single large pulmonary nodule, high contrast, lower left lung zone, overlap diaphragm"
synth_0155,c0471.mha,radedit,large,lower_left,high,heart,284,746,52,52,4200155,,plausible_overlap,"single large pulmonary nodule, high contrast, lower left lung zone, overlap heart"
synth_0156,c0635.mha,radedit,large,lower_right,low,diaphragm,657,771,52,52,4200156,,plausible_overlap,"single large pulmonary nodule, low contrast, lower right lung zone, overlap diaphragm"
synth_0157,c0637.mha,radedit,large,lower_right,low,heart,696,742,52,52,4200157,,plausible_overlap,"single large pulmonary nodule, low contrast, lower right lung zone, overlap heart"
synth_0158,c0682.mha,radedit,large,lower_right,medium,diaphragm,666,786,52,52,4200158,,plausible_overlap,"single large pulmonary nodule, medium contrast, lower right lung zone, overlap diaphragm"
synth_0159,c0788.mha,radedit,large,lower_right,medium,heart,686,747,52,52,4200159,,plausible_overlap,"single large pulmonary nodule, medium contrast, lower right lung zone, overlap heart"
synth_0160,c0791.mha,radedit,large,lower_right,high,diaphragm,655,771,52,52,4200160,,plausible_overlap,"single large pulmonary nodule, high contrast, lower right lung zone, overlap diaphragm"
synth_0161,c0830.mha,radedit,large,lower_right,high,heart,705,741,52,52,4200161,,plausible_overlap,"single large pulmonary nodule, high contrast, lower right lung zone, overlap heart"
synth_0162,c0875.mha,radedit,small,upper_left,low,clavicle,320,216,18,18,4200162,,high_risk_repeat,"single small pulmonary nodule, low contrast, upper left lung zone, overlap clavicle"
synth_0163,c0953.mha,radedit,small,upper_left,medium,spine,497,251,18,18,4200163,,high_risk_repeat,"single small pulmonary nodule, medium contrast, upper left lung zone, overlap spine"
